Project,Stage,Datetime, Amount ,Valuation,Type project,Dead,WL,Token,Website,Chains,Description,Announcement,Category-Defillama,Main-Cate,Sub-Cate1,Sub-Cate2,Sub-Cate3,Total Sub-Cate
Sweet,,12/3/2021,  1.800.000 ,,,,,,,,Powering the NFT Blockchain Digital Collectibles Revolution.,,NFT,NFT,,,,
Morfyus League,Seed,8/30/2021,  1.780.000 ,,,,,,,,We are a Web3 ecosystem bringing communities together and enabling them to earn via blockchain based economies in the metaverse,,,Web3,,,,
BLOCKCLOUD,,7/16/2018,  14.000.000 ,,,,,,,,BLOCKCLOUD is a  Blockchain-based Advanced TCP/IP ArchitectureProviding Constant Connectivity for Dynamic Networks.,,,Infrastructures,,,,
Quadrant Protocol,ICO,7/12/2018,  15.000.000 ,,,,,,,,"Quadrant Protocol is a Blockchain protocol that enables the access, creation, and distribution of data.",,,Infrastructures,Data Service,,,Data Service
Nobul Technologies,,8/30/2021,  40.000.000 ,,,,,,,,"The worlds only technology-driven real estate marketplace where every agent, from every brokerage, can compete for consumers business.",,,Web3,,,,
Govurn,,7/10/2018,  2.000.000 ,,,,,,,,"Decision Management System and Platform for governance, elections, voting, and surveys.",,,Infrastructures,,,,
Liquid Avatar Technologies,Post-IPO Equity,8/27/2021,  2.140.000 ,,,,,,,,"Liquid Avatar Technologies is an innovator in financial services, technologies, and products for the blockchain industry.",,,Web3,,,,
Earnity,Series A,12/6/2021,  15.000.000 ,,,,,,,,Earnity is a Silicon Valley community-based crypto platform where users learn about crypto through community as well as buy and gift crypto.,https://www.coindesk.com/business/2021/12/06/defi-startup-earnity-raises-15m-led-by-miner-bitnile/,,CeFi,CEX,,,CEX
Center,,8/24/2021,  49.280.000 ,,,,,,,,Center is a complete corporate credit card and expense management solution.,,,Web3,,,,
Digital Asset Management,Seed,8/23/2021,  1.570.000 ,,,,,,,,Digital Asset Management is a Digital Assets servicing firm able to assist with cryptocurrency and tokenized asset custodianship.,,,Web3,,,,
Pontoro,Seed,12/6/2021,  6.200.000 ,,,,,,,,"Creating new access, liquidity, and data for private assets",https://www.businesswire.com/news/home/20211208005133/en/Pontoro-Raises-Over-6-Million-Preferred-Seed-Round-for-Infrastructure-Financing-Digital-Asset-Platform,,DeFi,,,,
Home Lending Pal,Seed,8/23/2021,  2.200.000 ,,,,,,,,Home Lending Pal is a marketplace that focuses on mortgage equality by using AI and blockchain to de-identify HMDA data early in the process,,,Web3,,,,
Intract,Seed,11/1/2023,  3.000.000 ,,,No,No,No,https://x.com/IntractCampaign,,,https://www.eqs-news.com/news/corporate/tokentus-investment-ag-invests-usd-100000-in-intract-tech-pte-ltd-a-web3-learn-earn-platform/1929569,Gamefi,GameFi,X-to-Earn,Gaming,,X-to-Earn;Gaming
Aether Games,Seed,5/9/2023,  4.500.000 ,,,No,Đã mint NFT,Yes,https://x.com/aethergamesinc?lang=en,,,https://cointelegraph.com/press-releases/aether-games-secures-45-million-in-token-and-equity-funding-to-revolutionize-gaming-landscape,Gamefi,GameFi,Gaming,,,Gaming
Holaplex,Seed,12/7/2021,  6.000.000 ,,,,,,,,"Holaplex provides independent artists, musicians, and creators with simple, free tools to make and sell NFTs.",https://www.businesswire.com/news/home/20211207005344/en/Holaplex-Announces-6-Million-Seed-Round-to-Empower-Independent-Creators-of-NFTs,NFT,NFT,NFT,,,NFT
Tassat Group,,12/7/2021,  40.250.000 ,,,,,,,,TassatPay is a developer of a digital blockchain platform for digital payments and exchange markets.,https://www.ledgerinsights.com/tassatpay-raises-40m-unveils-blockchain-digital-interbank-network/,CeFi,CeFi,Asset Management,,,Asset Management
PlaceWar,Strategic,5/8/2023,  3.000.000 ,,,No,Yes,Yes,https://x.com/placewar_game?lang=en,,,https://placewar.medium.com/placewar-v3-unveiled-gamefis-rising-star-continues-to-impress-with-new-features-and-strategic-f473854526b0,Gamefi,GameFi,Gaming,,,Gaming
DeFi Warrior,,8/20/2021,  2.300.000 ,,,,,,,,DeFi Warrior is a crypto galaxy game using blockchain technology that enables users to generate passive income from NFTs.,,,Web3,,,,
Atlendis,Seed,12/8/2021,  4.400.000 ,,,,,,,Polygon,DeFi Undercollateralized Lending,https://atlendis.io/news/atlendis-labs-raises-4-4-million-seed-round-to-bring-uncollateralized-crypto-loans-to-defi-backed-by-lemniscap-parafi-capital-tioga-capital-and-others/,DeFi,DeFi,,,,
Nym Technologies,Seed,8/12/2021,  2.900.000 ,,,,,,,,Nym Technologies is a privacy-centric startup,,,Web3,,,,
Index Coop,Seed,12/8/2021,  2.250.000 ,,,,,,,Ethereum,Digital Assets Manager,https://decrypt.co/87785/index-coop-dao-hits-500-million-managed-assets,DeFi,DeFi,,,,
Whalemap,Seed,12/8/2021,  1.600.000 ,,,,,,,,Whalemap is a blockchain analytics company that uses data science to deliver actionable trading insights by looking at big market players.,,Analytics,CeFi,CEX,,,CEX
InVault CN,Angel Round,7/6/2018,  3.020.000 ,,,,,,,,Blockchain-based financial services platform.,,,Infrastructures,,,,
Bit2Me,ICO,8/12/2021,  2.920.000 ,,,,,,,,Suite of blockchain services for exchanging cryptocurrencies and boost the adoption of Bitcoin,,,Web3,,,,
AnChain.ai,Series A,8/12/2021,  10.000.000 ,,,,,,,,AnChain.AI : Next Generation AI-powered Cryptocurrency Anti-Money Laundering,,,Web3,,,,
PRIMPY,ICO,7/1/2018,  3.000.000 ,,,,,,,,"Primpy is a community-generated platform that connects the fashion industry through technology, usability, transparency and simplicity.",,,Infrastructures,,,,
Highstreet,Seed,8/11/2021,  5.000.000 ,,,,,,,,Highstreet is the worlds first commerce-centered metaverse with a decentralized finance marketplace for limited edition products.,,Metaverse,Web3,,,,
iZUMi FInance,Series A,12/9/2021,  3.500.000 ,,,,,,,Ethereum,Liquidity Mining on Uniswap V3,https://cointelegraph.com/press-releases/izumi-finance-closes-series-a-fundraising-with-35m-from-defi-and-crypto-investors,DeFi,DeFi,,,,
Slingshot Finance,Series A,12/9/2021,  15.000.000 ,,,,,,,,Slingshot Finance is a fintech company that offers a next generation decentralized trading platform.,,Trading,CeFi,CEX,,,CEX
Affyn,,12/9/2021,  7.000.000 ,,,,,,,,Affyn is a metaverse project that operates a Blockchain-based game startup to create a sustainable gaming economy.,,Metaverse,NFT,NFT,,,NFT
BlackPool,,12/9/2021,  6.000.000 ,,,,,,,Ethereum,NFT fund,https://web.archive.org/web/20220118183600/https://blog.blackpool.finance/blackpool-raises-6m/,NFT,NFT,NFT,,,NFT
Harbor,Debt Financing,8/6/2021,  7.000.000 ,,,,,,,,"Harbor is the engine through which SME's can access cost effective, user-friendly and efficient financing for trade.",,,Web3,,,,
Opn,Debt Financing,8/5/2021,  40.000.000 ,,,,,,,,"Opn offers fintech solutions, consulting, and digital solutions for e-commerce.",,,Web3,,,,
Figment,Pre-Seed,6/30/2018,  1.000.000 ,,,,,,,,"Figment supports the adoption, growth and long term success of the Web 3 ecosystem.",,,Infrastructures,,,,
Paradigm,Series A,12/9/2021,  35.000.000 ,,,,,,,,Paradigm automates OTC trading within chat for institutional traders,https://globalfintechseries.com/defi/paradigm-announces-35m-series-a-strategic-financing-co-led-by-jump-capital-and-alameda-ventures/,,CeFi,CEX,,,CEX
Medieval Empires,Undisclosed,2/2/2023,  3.000.000 ,,,No,No,Yes,https://www.medievalempires.com/,,,https://www.linkedin.com/posts/medieval-empires_medieval-empires-raises-3-million-in-private-activity-7052581386301403136-APga,Gamefi,GameFi,Gaming,NFT,,Gaming;NFT
DAV,ICO,6/25/2018,  24.500.000 ,,,,,,,,"DAV is a blockchain-based transportation platform. We enable vehicles to discover, communicate, and transact with one another.",,,Infrastructures,,,,
Hawksight.co,ICO,12/10/2021,  4.200.000 ,,,,,,,,"Hawksight is an app that helps to make investment decisions utilising AI-driven trading and signals, DeFi-NFTs, and GameFi utilities.",,,CeFi,,,Fundraising,Fundraising
Router Protocol,Series A,12/10/2021,  4.100.000 ,,,,,,,"Polygon,Ethereum,Avalanche,Arbitrum,Optimism,BSC,Fantom,Aurora,Cronos,Harmony,Kava",Router Protocol is a blockchain infrastructure project that allows interoperability between two independent blockchains.,,DeFi,DeFi,,,,
Proof Media Inc.,Corporate Round,6/22/2018,  1.000.000 ,,,,,,,,A platform which leverages the wisdom of the crowds to establish truth.,,,Infrastructures,,,,
Luxor Technologies,Series A,6/9/2021,  5.000.000 ,,,,,,,,Luxor Technologies is compute power company building blockchain infrastructure to support the next generation of digital assets.,,Infrastructure,Infrastructures,Tooling,Asset Management,,Tooling;Asset Management
Augmate,,6/19/2018,  2.800.000 ,,,,,,,,Augmate offers an IoT and wearable device management platform that allows organizations to develop end-point solutions.,,,Infrastructures,,,,
Digital Asset Management,Equity Crowdsale,8/4/2021,  1.880.000 ,,,,,,,,Digital Asset Management is a Digital Assets servicing firm able to assist with cryptocurrency and tokenized asset custodianship.,,,Web3,,,,
Matrix,Seed,8/1/2021,  5.000.000 ,,,,,,,,Revolutionizing monetization and retention tools,,,Web3,,,,
"MegaHoot Technologies, Inc",Private Equity,12/26/2017,  50.000.000 ,,,,,,,,"MegaHoot Technologies is an American Software and Technology company :Artificial Intelligence, Blockchain Tech & SaaS Business Solutions",,Infrastructure,Infrastructures,,,,
DEIP,Seed,7/31/2021,  2.000.000 ,,,,,,,,The first Web 3.0 protocol for tokenization and governance of any intangible assets.,,,Web3,,,,
MetaGamiMall,Grant,5/3/2023,,,,Yes,,,,,,https://governance.decentraland.org/proposal/?id=6ca30350-df00-11ed-93f4-8f8fa30ce0cd,Gamefi,GameFi,Gaming,,,Gaming
Melotic,Seed,10/10/2014,  1.175.000 ,,,,,,,,"Melotic, Inc. is a cryptocurrency technology company founded in 2014 based in Hong Kong",,Infrastructure,Infrastructures,,,,
AgoraLV,Seed,12/13/2021,  16.250.000 ,,,,,,,,"AgoraLV is a company devoted to collegiate NIL, NFT, and Scientific Wellness testing.",,NFT,NFT,,,,
Wallex Bank & Statutory Trust,Pre-Seed,7/30/2021,  8.740.000 ,,,,,,,,Assets and Digital Assets financial service provider.,,,Web3,,,,
Transmira,Undisclosed,4/27/2023,  4.000.000 ,,,Yes,,,,,,https://nchain.com/nchain-invests-4-million-in-transmira-a-pioneering-metaverse-platform-to-create-the-new-metaverse-economy/,Gamefi,GameFi,Gaming,,,Gaming
NYDIG,Private Equity,12/14/2021,  1.000.000.000 ,7000000000,,,,,,,NYDIG is a bitcoin company that provides technology and financial services to businesses in a broad range of industries.,https://twitter.com/Blockworks_/status/1470752005891235856,CeFi,CeFi,,Asset Management,Payment,Asset Management;Payment
Horizon Blockchain Games,Seed,7/29/2021,  4.500.000 ,,,,,,,,"Horizon Blockchain Games is driving Web3 adoption by making blockchain easy, fun and powerful for users and developers.",,,Web3,,,,
Getaverse,Undisclosed,4/27/2023,,,,Yes,,,,,,https://twitter.com/GetaverseGlobal/status/1651498297696088064,Gamefi,GameFi,Gaming,,,Gaming
WealthPark,Series C,3/22/2021,  22.960.000 ,,,,,,,,WealthPark is a digital asset management platform that connects investors and managers of real estate.,,Web3,DeFi,Asset Management,Real estate,,Asset Management;Real estate
Bitturk,Corporate Round,12/14/2021,  2.000.000 ,,,,,,,,"Bitturk allows users to buy, sell, deposit, and withdraw cryptocurrencies.",,Centralized Exchange,CeFi,CEX,,,CEX
Diginex,Post-IPO Equity,7/29/2021,  6.000.000 ,,,,,,,,Diginex is a digital financial services and blockchain solutions company.,,,Web3,,,,
Old Point Trust,Debt Financing,7/28/2021,  30.000.000 ,,,,,,,,Old Point National Bank is a bank that specializes in financial and commercial services.,,,Web3,,,,
IP Assets,Seed,7/26/2021,  1.400.000 ,,,,,,,,"IPAssets provides blockchain integration consulting and services for businesses, artists and Universities.",,,Web3,,,,
Anchorage Digital,Series D,12/15/2021,  350.000.000 ,3000000000,,,,,,,crypto platform for institutions,https://twitter.com/Cointelegraph/status/1471060991924342784,CeFi,CeFi,CEX,,,CEX
PlanetWatch,,7/22/2021,  1.230.000 ,,,,,,,,Decentralizing and incentivizing environmental monitoring,,,Web3,,,,
Levelfield Financial,Seed,12/15/2021,  8.000.000 ,,,,,,,,"LevelField is a financial services company that offers traditional banking, securities, and digital assets services.",,CeFi,CeFi,CEX,,,CEX
THORWallet DEX,,12/15/2021,  3.400.000 ,,,,,,,Ethereum,The only non-custodial wallet to swap native crypto assets across chains and earn passive income on them.,,Infrastructure,DeFi,,,,
Ment Tech,Pre-Seed,2/1/2020,  150.000 ,,,,,,,,Global Leading Blockchain Product & Service Provider,,Infrastructure,Infrastructures,,,,
Marathon Digital,Post-IPO Equity,7/22/2021,  20.000.000 ,,,,,,,,Marathon is a digital asset technology company that mines cryptocurrencies and focuses on securing and supporting the Bitcoin ecosystem.,,Mining,Web3,,,,
Ledn,Series B,12/15/2021,  70.000.000 ,540000000,,,,,,,CeFi Lending,https://www.coindesk.com/business/2021/12/15/crypto-lender-ledn-raises-70m-in-series-b-round-readies-bitcoin-backed-mortgage-product/,CeFi,DeFi,,,,
Fetch.AI,Seed,6/11/2018,  15.000.000 ,,,,,,,Ethereum,"Fetch.AI develops a decentralized network for digital representatives to find, communicate, and trade with each other.",,,Infrastructures,,,,
Milo,Seed,1/27/2021,  6.000.000 ,,,,,,,,Milo is a financial technology company that is reimagining the way crypto and global consumers access credit and financial solutions.,,Infrastructure,CeFi,Asset Management,Custody,,Asset Management;Custody
Aztec Network,Series A,12/16/2021,  17.000.000 ,,,,,,,,programmable privacy layer for web3,https://www.coindesk.com/business/2021/12/16/ethereum-privacy-startup-aztec-raises-17m-in-paradigm-led-series-a/,DeFi,DeFi,,,,
Virtually Human Studio,Series A,7/21/2021,  20.000.000 ,,,,,,,,Decentralised Entertainment,,,Web3,,,,
Intellabridge Technology Corporation,Post-IPO Equity,7/16/2021,  7.930.000 ,,,,,,,,Intellabridge Technology Corporation provides machine learning and artificial intelligence technology solutions.,,,Web3,,,,
Hubble Protocol,Seed,12/16/2021,  10.000.000 ,,,,,,,Solana,"Hubble is a decentralized financial protocol that allows for long-term borrowing, lending, and structured products.",https://cointelegraph.com/news/solana-based-defi-protocol-hubble-raises-10m-prepares-for-mainnet-launch,DeFi,DeFi,,,,
Rubicon,Seed,12/16/2021,  1.500.000 ,,,,,,,Optimism,Rubicon provides a cryptocurrency and digital assets exchange built on the Ethereum blockchain.,,DeFi,DeFi,,,,
Vibra,Seed,12/17/2021,  6.000.000 ,,,,,,,,"Vibra is an online crypto-currency application that specializes in investments, blockchain, and funding services.",,,CeFi,,,Fundraising,Fundraising
CheckSig,Seed,12/17/2021,  1.740.000 ,,,,,,,,Digital asset custody and prime brokerage,,Trading,CeFi,CEX,,,CEX
0Studio,Undisclosed,4/26/2023,,,,Yes,,,,,,https://medium.com/@LAMINA1/the-lamina1-ecosystem-fund-l1ef-invests-in-metaverse-innovation-lab-0-studio-and-phygital-goods-1608b6425296,Gamefi,GameFi,Gaming,,,Gaming
Nym Technologies,Series A,7/16/2021,  6.000.000 ,,,,,,,,Nym Technologies is a privacy-centric startup,,,Web3,,,,
Legitimate,Undisclosed,4/26/2023,,,,Yes,,,,,,https://medium.com/@LAMINA1/the-lamina1-ecosystem-fund-l1ef-invests-in-metaverse-innovation-lab-0-studio-and-phygital-goods-1608b6425296,Gamefi,GameFi,Gaming,,,Gaming
INLOCK,ICO,6/5/2018,  1.810.000 ,,,,,,,,Crypto collateral based lending platform,,,CeFi,Lending,,,Lending
FlappyMoonBird,Pre Series B,4/25/2023,  2.000.000 ,,,No,Đã mint NFT,Yes,https://flappymoonbird.xyz/,,,https://twitter.com/flappymoonbird/status/1650766988233564160?,Gamefi,GameFi,Gaming,,,Gaming
Hyperchain Technologies,Series B,6/4/2018,  234.090.000 ,,,,,,,,Hyperchain is a blockchain platform developer based in china.,,,Infrastructures,,,,
Rvvup,Seed,12/20/2021,  7.500.000 ,,,,,,,,Bridging the 3 Generations of Payments,,,CeFi,Payment,,,Payment
BTP,Seed,7/15/2021,  2.770.000 ,,,,,,,,Blockchain Technology Partners is an enterprise blockchain company that enables multiparty innovation,,,Web3,,,,
Betmatch,Seed,6/1/2018,  4.000.000 ,,,,,,,,"Betmatch is a betting platform that combines the classic business model, executed in trustless paradigm.",,,Infrastructures,,,,
Fineqia,Post-IPO Equity,12/21/2021,  5.000.000 ,,,,,,,,Fineqia Limited aims to connect investors with lucrative investment opportunities previously available to large financial institutions.,,,CeFi,,,Fundraising,Fundraising
Trovio,Series A,6/1/2018,  1.510.000 ,,,,,,,,Trovio is an Australian Fintech startup that has developed a platform for the digitisation of gold and other precious metals.,,,Infrastructures,,,,
MetaWorks,Post-IPO Equity,7/14/2021,  3.750.000 ,,,,,,,,MetaWorks is an IT service management company that builds digital currencies to create more transactions for brands.,,,Web3,,,,
Interlay,,12/21/2021,  6.500.000 ,,,,,,,Polkadot,"Interlay enables you to invest, earn and pay with BTC on any blockchain via a decentralized open-source protocol.",,Infrastructure,DeFi,,,,
MoFAS,Private Equity,6/1/2018,  20.000.000 ,,,,,,,,MoFAS is a secure smart contract and decentralized application platform for real-life use.,,,Infrastructures,,,,
Talent Protocol,Seed,12/21/2021,  1.300.000 ,,,,,,,Celo,The web3 professional network where anyone can discover high-potential talent and invest in their careers.,,DeFi,DeFi,,,,
B.Protocol,Seed,12/22/2021,  2.200.000 ,,,,,,,"Ethereum,Arbitrum,Polygon,Fantom",B.Protocol is building a Backstop DeFi primitive unlocking higher capital efficiency.,,DeFi,DeFi,,,,
Tibles,Seed,12/22/2021,  3.000.000 ,,,,,,,,Tibles mission is to make digital collecting as authentic and fulfilling as physical collecting.,,,NFT,NFT,,,NFT
DSpace,Seed,4/24/2023,  1.000.000 ,,,Yes,,,,,,https://www.chaincatcher.com/article/2091801,Gamefi,GameFi,Gaming,,,Gaming
Diamond Standard,Debt Financing,12/23/2021,  6.000.000 ,,,,,,,,"Diamond Standard is a regulator-approved fungible commodity for natural resource, with a built-in wireless chip for electronic trading.",,,CeFi,CEX,Energy,,CEX;Energy
Minka,Seed,5/14/2020,  3.000.000 ,,,,,,,,Minka is a financial services cloud that enables fintech to build solutions in days instead of years.,,Infrastructure,Infrastructures,,,,
Convergence.Tech,Grant,7/13/2021,  1.980.000 ,,,,,,,,Convergence.Tech is a digital transformation company.,,,Web3,,,,
SuperDuperSecret Co.,Pre Seed,4/24/2023,  1.000.000 ,,,Yes,,,,,,https://venturebeat.com/games/superdupersecret-co-raises-over-1m-to-re-create-classic-chess-with-10-player-battle-royale/,Gamefi,GameFi,Gaming,,,Gaming
BlocPal International Inc.,Series E,7/9/2021,  3.580.000 ,,,,,,,,BlocPal is a digital transaction solutions provider delivering a suite of integrated financial services and applications to our partners.,,,Web3,,,,
